method,elapsed_time,best_score,test_score,best_params,auc_score,tunability,r2_score
Unoptimized,0.14996767044067383,,,,0.697979797979798,0.14626148279895035,-0.21616161616161644
RandomSearchCV,84.52459049224854,0.8464375606688268,0.8383838383838385,"{'model__bootstrap': True, 'model__criterion': 'entropy', 'model__max_depth': 6, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 16, 'model__n_estimators': 1159}",0.7262626262626263,0.1179786545161221,-0.10303030303030325
