method,elapsed_time,best_score,test_score,best_params,auc_score,tunability,r2_score
Unoptimized,0.08895039558410645,,,"['model__C': 1.0, 'model__l1_ratio':0.5]",0.7359658612814041,0.05111959790226939,-0.32227431181632404
RandomSearchCV,37.93347764015198,0.7922271442360728,0.8255799975958649,"{'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_depth': 20, 'bootstrap': True}",0.6277196778458949,0.15936578133777857,-0.15398485394879202
