method,elapsed_time,best_score,test_score,best_params,auc_score,r2_score
Unoptimized,1.1834611892700195,,,,0.697979797979798,-0.21616161616161644
BayesSearchCV,52.18893098831177,0.8435780423280421,0.8303030303030302,"OrderedDict({'model__bootstrap': True, 'model__criterion': 'entropy', 'model__max_depth': 8, 'model__max_features': 'log2', 'model__min_samples_leaf': 3, 'model__min_samples_split': 10, 'model__n_estimators': 439})",0.7353535353535354,-0.074747474747475
