mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__l1_ratio,param_model__penalty,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,rank_train_score,search_type
0.024329566955566408,0.00040160417822151894,0.020724916458129884,0.0011644395387685278,0.1,0.5,elasticnet,"OrderedDict({'model__C': 0.1, 'model__l1_ratio': 0.5, 'model__penalty': 'elasticnet'})",0.8261627906976744,0.8232558139534883,0.795639534883721,0.8003452243958573,0.8004121283485429,0.8091630984558569,0.012843794757472654,46,0.8135565492420112,0.8241356745555677,0.8245901043370778,0.8182182693008675,0.8333665537173609,0.8227734302305769,0.006679381196928217,50,BayesSearchCV
0.023198843002319336,0.00039958970927960884,0.019400978088378908,0.000490057302398763,1.0,0.2,elasticnet,"OrderedDict({'model__C': 1, 'model__l1_ratio': 0.2, 'model__penalty': 'elasticnet'})",0.8566860465116278,0.844767441860465,0.8052325581395349,0.8273878020713463,0.7951133352958495,0.8258374367757646,0.0231556337985122,25,0.8312793107209074,0.8326607772566983,0.8458028865379722,0.8341109572063863,0.8498015837063075,0.8387311030856545,0.00756689467921212,44,BayesSearchCV
0.02319941520690918,0.0009785770102893286,0.02020096778869629,0.0007484575688568954,0.1,0.5,elasticnet,"OrderedDict({'model__C': 0.1, 'model__l1_ratio': 0.5, 'model__penalty': 'elasticnet'})",0.8261627906976744,0.8232558139534883,0.795639534883721,0.8003452243958573,0.8004121283485429,0.8091630984558569,0.012843794757472654,46,0.8135565492420112,0.8241174973643073,0.8246264587195986,0.8182182693008675,0.8333665537173609,0.8227770656688291,0.006680640933596635,49,BayesSearchCV
0.025638341903686523,0.0013566559929875336,0.02219862937927246,0.0011642661974024557,1.0,0.2,elasticnet,"OrderedDict({'model__C': 1, 'model__l1_ratio': 0.2, 'model__penalty': 'elasticnet'})",0.8566860465116278,0.844767441860465,0.8052325581395349,0.8273878020713463,0.7951133352958495,0.8258374367757646,0.0231556337985122,25,0.8312974879121678,0.8326607772566983,0.8457847093467118,0.8341291827659109,0.8498015837063077,0.8387347481975592,0.007557698020833234,43,BayesSearchCV
0.025399112701416017,0.0010206654717183513,0.01920032501220703,0.00040030492211181343,10.0,0.8,elasticnet,"OrderedDict({'model__C': 10, 'model__l1_ratio': 0.8, 'model__penalty': 'elasticnet'})",0.8604651162790697,0.8380813953488372,0.8055232558139535,0.8426352128883774,0.790992051810421,0.8275394064281318,0.025469743970823553,16,0.8354418875195404,0.8375686188970081,0.849147489729887,0.8392870161113947,0.8527732980593256,0.8428436620634312,0.006835173611455514,1,BayesSearchCV
0.023001623153686524,0.0008953754731259324,0.01914248466491699,0.0004900579055641373,0.1,0.2,elasticnet,"OrderedDict({'model__C': 0.1, 'model__l1_ratio': 0.2, 'model__penalty': 'elasticnet'})",0.8281976744186047,0.8223837209302326,0.7915697674418605,0.786536248561565,0.8012952605239917,0.8059965343752509,0.01655516116706585,51,0.8123205002363035,0.8122477914712619,0.8216817537354129,0.8175803747175039,0.8292170257488176,0.8186094891818598,0.006372445336061622,51,BayesSearchCV
0.033195114135742186,0.0014143135654603462,0.021800994873046875,0.000750248953699174,10.0,0.2,elasticnet,"OrderedDict({'model__C': 10, 'model__l1_ratio': 0.2, 'model__penalty': 'elasticnet'})",0.8607558139534883,0.8398255813953488,0.8078488372093023,0.8403337169159953,0.7933470709449515,0.8284222040838174,0.024375856368656808,1,0.8352601156069365,0.8372232522630604,0.8487657687134185,0.8388678282423271,0.8527914182687952,0.8425816766189076,0.006907857216017485,17,BayesSearchCV
0.02336583137512207,0.0006337677918432915,0.020868730545043946,0.0004011696050142327,1.0,0.8,elasticnet,"OrderedDict({'model__C': 1, 'model__l1_ratio': 0.8, 'model__penalty': 'elasticnet'})",0.8563953488372092,0.8328488372093024,0.8069767441860466,0.8371691599539701,0.7948189579040329,0.8256418096181122,0.022041025758061862,31,0.8326789544479587,0.835823608536009,0.8483476933144292,0.8363891521469708,0.8522296917752369,0.8410938200441208,0.0077116186238395425,31,BayesSearchCV
0.02293987274169922,0.0004841684941424815,0.018592309951782227,0.0004868365733134333,1.0,0.2,elasticnet,"OrderedDict({'model__C': 1, 'model__l1_ratio': 0.2, 'model__penalty': 'elasticnet'})",0.8566860465116278,0.844767441860465,0.8052325581395349,0.8273878020713463,0.7951133352958495,0.8258374367757646,0.0231556337985122,25,0.8312793107209074,0.8326607772566983,0.8458028865379722,0.8341474083254357,0.849783463496838,0.8387347692675704,0.007557156177062562,42,BayesSearchCV
0.026137542724609376,0.0006848948466783915,0.02091069221496582,0.0009247248730627801,1.0,0.8,elasticnet,"OrderedDict({'model__C': 1, 'model__l1_ratio': 0.8, 'model__penalty': 'elasticnet'})",0.8563953488372092,0.8328488372093024,0.8069767441860466,0.8371691599539701,0.7948189579040329,0.8256418096181122,0.022041025758061862,31,0.8326971316392191,0.835823608536009,0.8483658705056896,0.8364073777064955,0.8522296917752369,0.84110473603253,0.007708852166523747,26,BayesSearchCV
