mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_depth,param_bootstrap,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,search_type
2.1456426620483398,0.08754890040014689,0.08229947090148926,0.004294733907872449,1000,5,4,,False,"{'n_estimators': 1000, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_depth': None, 'bootstrap': False}",0.8761627906976743,0.8505813953488373,0.7613372093023256,0.8058112773302646,0.8174860170738887,0.8222757379505982,0.03927479817369987,13,RandomizedSearchCV
0.9432454109191895,0.19833001131608624,0.029035139083862304,0.009576915783874203,300,2,2,10,True,"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_depth': 10, 'bootstrap': True}",0.8767441860465117,0.8398255813953488,0.7741279069767442,0.8115650172612198,0.8104209596702973,0.8225367302700244,0.03419923154460133,11,RandomizedSearchCV
0.11722660064697266,0.0025406225081534145,0.007204866409301758,0.0005080620730609517,50,2,2,,True,"{'n_estimators': 50, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_depth': None, 'bootstrap': True}",0.8651162790697674,0.832703488372093,0.7776162790697675,0.800776754890679,0.8322048866647042,0.8216835376134022,0.029991858796565008,15,RandomizedSearchCV
0.10823917388916016,0.003249622269323295,0.00720820426940918,0.0003965882938426726,50,10,2,5,True,"{'n_estimators': 50, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_depth': 5, 'bootstrap': True}",0.8718023255813954,0.8485465116279071,0.7715116279069767,0.8043728423475259,0.8157197527229908,0.8223906120373592,0.03488111217686842,12,RandomizedSearchCV
0.4051948070526123,0.0034253256594900237,0.017222499847412108,0.0009693061446551746,200,10,1,,False,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_depth': None, 'bootstrap': False}",0.8755813953488372,0.8508720930232557,0.751453488372093,0.796029919447641,0.813953488372093,0.8175780769127841,0.04318054747282883,16,RandomizedSearchCV
4.7274998188018795,0.46587840269963005,0.18803129196166993,0.06727790285994613,2000,2,1,10,False,"{'n_estimators': 2000, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 10, 'bootstrap': False}",0.8813953488372093,0.8459302325581395,0.75,0.7966052934407365,0.8068884309685017,0.8161638611609174,0.044693202057717936,19,RandomizedSearchCV
0.10016427040100098,0.0027643243224994172,0.006902885437011719,0.00019440659711778246,50,2,4,,False,"{'n_estimators': 50, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_depth': None, 'bootstrap': False}",0.875,0.8645348837209301,0.7622093023255814,0.8071058688147296,0.8342655284074183,0.8286231166537318,0.04085607377460371,1,RandomizedSearchCV
2.56724534034729,0.24887155582920095,0.08046226501464844,0.009370189843075019,1000,5,4,20,True,"{'n_estimators': 1000, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_depth': 20, 'bootstrap': True}",0.8738372093023257,0.838953488372093,0.7732558139534884,0.8196202531645569,0.8177803944657049,0.8246894318516338,0.03267358491814356,6,RandomizedSearchCV
0.7574692249298096,0.05465363313838439,0.03488125801086426,0.015165300580187521,300,10,2,,True,"{'n_estimators': 300, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_depth': None, 'bootstrap': True}",0.875,0.8430232558139534,0.7752906976744186,0.8104142692750288,0.8151309979393583,0.8237718441405517,0.033461773402526325,8,RandomizedSearchCV
2.6693849086761476,0.3283862736424882,0.09337797164916992,0.009899138881291942,1000,2,4,20,True,"{'n_estimators': 1000, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_depth': 20, 'bootstrap': True}",0.8738372093023257,0.838953488372093,0.7732558139534884,0.8196202531645569,0.8177803944657049,0.8246894318516338,0.03267358491814356,6,RandomizedSearchCV
0.7890198230743408,0.08702074456091353,0.027219867706298827,0.002894507554672478,300,5,4,20,True,"{'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_depth': 20, 'bootstrap': True}",0.8752906976744186,0.8438953488372093,0.7755813953488372,0.8181818181818181,0.8204297909920518,0.8266758102068671,0.03280768105295602,4,RandomizedSearchCV
2.8661242961883544,0.3382066320783886,0.09733266830444336,0.02761564897303806,1000,10,1,10,True,"{'n_estimators': 1000, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_depth': 10, 'bootstrap': True}",0.8790697674418605,0.8418604651162791,0.7718023255813954,0.810126582278481,0.8157197527229908,0.8237157786282013,0.03560028938164495,9,RandomizedSearchCV
0.36507339477539064,0.08090231956159767,0.014908075332641602,0.003052407210516392,100,2,4,,True,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_depth': None, 'bootstrap': True}",0.8784883720930232,0.8511627906976744,0.7726744186046511,0.8138665132336019,0.817780394465705,0.8267944978189311,0.03589830122485169,3,RandomizedSearchCV
2.590230655670166,0.28883816752648517,0.09444131851196289,0.017158006155177027,1000,5,1,20,False,"{'n_estimators': 1000, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_depth': 20, 'bootstrap': False}",0.8854651162790698,0.8523255813953489,0.7436046511627907,0.7920023014959724,0.8113040918457463,0.8169403484357856,0.04894804712675673,18,RandomizedSearchCV
