method,elapsed_time,best_score,test_score,best_params,auc_score,r2_score
Unoptimized,0.08816957473754883,,,"['model__C': 1.0, 'model__l1_ratio':0.5]",0.7359658612814041,-0.32227431181632404
BayesSearchCV,652.4350287914276,0.7726186167034381,0.8181271787474457,"OrderedDict({'model__C': 0.255, 'model__l1_ratio': 0.2, 'model__penalty': 'elasticnet'})",0.7387306166606563,-0.3703570140641905
