mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__bootstrap,param_model__criterion,param_model__max_depth,param_model__max_features,param_model__min_samples_leaf,param_model__min_samples_split,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,search_type
0.6465014457702637,0.024880343991314346,0.07646536827087402,0.03792681737887648,False,entropy,29,sqrt,9,16,264,"{'model__bootstrap': False, 'model__criterion': 'entropy', 'model__max_depth': 29, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 9, 'model__min_samples_split': 16, 'model__n_estimators': 264}",0.7896672182386468,0.7477678571428571,0.7386532738095238,0.8340773809523809,0.7914806547619047,0.7803292769810627,0.03434397867483262,31,0.9517764136904763,0.9505048046272792,0.9467260145355914,0.9400841534235143,0.9492181613752014,0.9476619095304125,0.004140806778306479,RandomizedSearchCV
4.866656160354614,0.111322002163497,0.21577653884887696,0.029086904987526946,True,gini,5,sqrt,8,12,1722,"{'model__bootstrap': True, 'model__criterion': 'gini', 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 8, 'model__min_samples_split': 12, 'model__n_estimators': 1722}",0.7959183673469388,0.7462797619047619,0.7388392857142858,0.8368675595238094,0.7944568452380952,0.7824723639455782,0.036047219198537636,24,0.8807663690476191,0.8842948383581969,0.8810608431570284,0.8695042366496273,0.8797394257630026,0.8790731425950948,0.005021791916017192,RandomizedSearchCV
2.9365408420562744,0.15582484671833421,0.19365453720092773,0.04957087326115319,False,entropy,5,log2,7,10,1251,"{'model__bootstrap': False, 'model__criterion': 'entropy', 'model__max_depth': 5, 'model__max_features': 'log2', 'model__min_samples_leaf': 7, 'model__min_samples_split': 10, 'model__n_estimators': 1251}",0.7955506526935098,0.7513020833333334,0.7300967261904763,0.8366815476190476,0.7844122023809524,0.779608642443464,0.03684353273985802,32,0.896484375,0.8984710968923508,0.8957934879623513,0.8837848176096255,0.8985174624149481,0.8946102479758551,0.005518601826756912,RandomizedSearchCV
0.8543989181518554,0.07876229318308434,0.13430914878845215,0.13027652744000354,False,entropy,6,sqrt,7,6,298,"{'model__bootstrap': False, 'model__criterion': 'entropy', 'model__max_depth': 6, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 7, 'model__min_samples_split': 6, 'model__n_estimators': 298}",0.7883802169516454,0.75390625,0.7336309523809523,0.8307291666666666,0.7981770833333334,0.7809647338665195,0.034059951715620485,30,0.9254441034226191,0.9218393202814388,0.9190689803062442,0.9099581551158558,0.9231259635335165,0.9198873045319349,0.005374661927815044,RandomizedSearchCV
3.4365920066833495,0.11651244290201439,0.18733577728271483,0.015722381513224734,False,gini,7,log2,5,16,1685,"{'model__bootstrap': False, 'model__criterion': 'gini', 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 5, 'model__min_samples_split': 16, 'model__n_estimators': 1685}",0.7955506526935099,0.75390625,0.7434895833333334,0.8430059523809522,0.7894345238095238,0.7850773924434639,0.03517265363389247,14,0.9434640066964286,0.9415446673853323,0.9383454463261119,0.9299416953553338,0.941370796675592,0.9389333224877596,0.00478502787576249,RandomizedSearchCV
3.218800354003906,0.0847062436327337,0.06266970634460449,0.0022432652724407296,False,entropy,27,,7,10,406,"{'model__bootstrap': False, 'model__criterion': 'entropy', 'model__max_depth': 27, 'model__max_features': None, 'model__min_samples_leaf': 7, 'model__min_samples_split': 10, 'model__n_estimators': 406}",0.604155175583747,0.6632254464285714,0.6567150297619047,0.7129836309523809,0.6925223214285716,0.6659203208310351,0.036958231815118994,50,0.9368082682291666,0.9366762875126056,0.9368791366739693,0.9250443370309838,0.9283246977547496,0.9327465454402949,0.005057578994099775,RandomizedSearchCV
2.2215532302856444,0.05077653365471686,0.13184313774108886,0.04704390802609669,True,gini,17,sqrt,7,18,763,"{'model__bootstrap': True, 'model__criterion': 'gini', 'model__max_depth': 17, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 7, 'model__min_samples_split': 18, 'model__n_estimators': 763}",0.7920573634859349,0.7462797619047618,0.7395833333333334,0.843936011904762,0.797061011904762,0.7837834965067108,0.03800857517007125,19,0.9261067708333334,0.9277161502706588,0.9202976666550753,0.9146758470401409,0.9238678118950748,0.9225328493388567,0.0046508101482797244,RandomizedSearchCV
3.5817028045654298,0.08619712271879224,0.19208788871765137,0.010487029327178666,False,entropy,9,sqrt,4,14,1383,"{'model__bootstrap': False, 'model__criterion': 'entropy', 'model__max_depth': 9, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 14, 'model__n_estimators': 1383}",0.7876447876447876,0.7481398809523809,0.744233630952381,0.8415178571428572,0.7942708333333334,0.7831613980051481,0.035470760813534376,20,0.9805268787202381,0.9773736249724705,0.9735716521194839,0.9712881501315621,0.9755537782105226,0.9756628168308555,0.003165707837494707,RandomizedSearchCV
2.1861196517944337,0.11285307517532751,0.1760171413421631,0.1310163866999197,False,entropy,6,log2,9,7,995,"{'model__bootstrap': False, 'model__criterion': 'entropy', 'model__max_depth': 6, 'model__max_features': 'log2', 'model__min_samples_leaf': 9, 'model__min_samples_split': 7, 'model__n_estimators': 995}",0.7961022246736533,0.7481398809523809,0.7356770833333334,0.8407738095238094,0.7892485119047619,0.7819883020775877,0.03741147935524505,27,0.9052618117559524,0.9090772101865053,0.9052868287141682,0.8939852325810528,0.9098770154513104,0.9046976197377978,0.005682036094618608,RandomizedSearchCV
0.9682534694671631,0.03776147800928329,0.08261408805847167,0.02483076253723889,False,gini,15,sqrt,7,8,389,"{'model__bootstrap': False, 'model__criterion': 'gini', 'model__max_depth': 15, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 7, 'model__min_samples_split': 8, 'model__n_estimators': 389}",0.7922412208126495,0.7436755952380952,0.7397693452380952,0.8405877976190476,0.7991071428571429,0.7830762203530061,0.037620377247047886,21,0.9699474516369049,0.9689003257177964,0.9623975611735114,0.9631510009157191,0.9679034669819522,0.9664599612851769,0.003087199041458604,RandomizedSearchCV
9.104648447036743,0.3831169928780918,0.37961626052856445,0.06162774835512834,True,gini,29,,9,4,1582,"{'model__bootstrap': True, 'model__criterion': 'gini', 'model__max_depth': 29, 'model__max_features': None, 'model__min_samples_leaf': 9, 'model__min_samples_split': 4, 'model__n_estimators': 1582}",0.7720169148740577,0.7466517857142857,0.7220982142857142,0.8138020833333334,0.794828869047619,0.769879573451002,0.03279881357706025,48,0.9367908296130952,0.9368733409836447,0.932572938762736,0.9300344264005286,0.9339407216793593,0.9340424514878729,0.002600061513138985,RandomizedSearchCV
9.650696992874146,0.5795173499909446,0.47971229553222655,0.16117359177083374,True,entropy,9,,8,16,1597,"{'model__bootstrap': True, 'model__criterion': 'entropy', 'model__max_depth': 9, 'model__max_features': None, 'model__min_samples_leaf': 8, 'model__min_samples_split': 16, 'model__n_estimators': 1597}",0.7663173377459092,0.7468377976190477,0.7230282738095238,0.8253348214285715,0.7991071428571429,0.772125074692039,0.03644991412152095,45,0.9562058221726191,0.95405176710598,0.9492181613752013,0.9449061677736436,0.9479662922650717,0.950469642138503,0.004111461841354855,RandomizedSearchCV
6.030838394165039,0.33889382303827187,0.44683070182800294,0.07588447282330937,True,entropy,24,log2,1,13,1733,"{'model__bootstrap': True, 'model__criterion': 'entropy', 'model__max_depth': 24, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 13, 'model__n_estimators': 1733}",0.7999632285346571,0.7570684523809524,0.7520461309523809,0.8524925595238096,0.7920386904761905,0.7907218123735982,0.03614172136543699,2,0.9898158482142856,0.9872958468083133,0.9809321788318207,0.9837141101876645,0.987052427814677,0.9857620823713523,0.0030975022352491104,RandomizedSearchCV
0.9731899738311768,0.16369032276416784,0.29103736877441405,0.1569780659435242,False,entropy,9,sqrt,1,18,201,"{'model__bootstrap': False, 'model__criterion': 'entropy', 'model__max_depth': 9, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 18, 'model__n_estimators': 201}",0.7845192130906417,0.7557663690476192,0.7373511904761906,0.8470982142857142,0.7877604166666666,0.7824990807133664,0.03730356689381135,23,0.983026413690476,0.9816276616707817,0.9771881628820809,0.9738150711131203,0.983064992871301,0.9797444604455521,0.0036615820251795126,RandomizedSearchCV
3.8179314136505127,0.23175074873996987,0.28576068878173827,0.10026315503845747,False,gini,9,log2,1,3,1276,"{'model__bootstrap': False, 'model__criterion': 'gini', 'model__max_depth': 9, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 3, 'model__n_estimators': 1276}",0.7973892259606545,0.7511160714285715,0.7494419642857143,0.843936011904762,0.7795758928571429,0.7842918332873691,0.03483203805770569,18,0.9991629464285714,0.9982149273800003,0.9976585411088315,0.9981685618574028,0.9982844756638963,0.9982978904877406,0.0004859790403809468,RandomizedSearchCV
6.4287115097045895,0.29970788958399136,0.3112491607666016,0.050747041086001296,True,entropy,27,,8,18,966,"{'model__bootstrap': True, 'model__criterion': 'entropy', 'model__max_depth': 27, 'model__max_features': None, 'model__min_samples_leaf': 8, 'model__min_samples_split': 18, 'model__n_estimators': 966}",0.7665011950726236,0.7472098214285715,0.7230282738095238,0.8229166666666666,0.800595238095238,0.7720502390145247,0.035925483272135704,46,0.9558454241071428,0.9531940049379282,0.9475837767036431,0.9438977176571501,0.9487892802911754,0.949862040739408,0.004214672318722092,RandomizedSearchCV
3.187949371337891,0.3967452054527123,0.3531073570251465,0.06720214964035219,False,gini,6,log2,1,10,1347,"{'model__bootstrap': False, 'model__criterion': 'gini', 'model__max_depth': 6, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 10, 'model__n_estimators': 1347}",0.7966537966537965,0.7481398809523809,0.738467261904762,0.8377976190476191,0.7857142857142857,0.7813545688545689,0.03572513962825463,29,0.9521949404761905,0.9492529355171495,0.9452655005737733,0.9415794415272803,0.9515480288857207,0.9479681693960229,0.004011280949016716,RandomizedSearchCV
4.565286111831665,0.28046672582310334,0.36739087104797363,0.13554324346633967,False,entropy,7,log2,4,4,1734,"{'model__bootstrap': False, 'model__criterion': 'entropy', 'model__max_depth': 7, 'model__max_features': 'log2', 'model__min_samples_leaf': 4, 'model__min_samples_split': 4, 'model__n_estimators': 1734}",0.795182938040081,0.7496279761904762,0.7410714285714286,0.8420758928571429,0.7860863095238095,0.7828089090365877,0.03610934754059283,22,0.9581589471726191,0.9573205364490964,0.9510032339952011,0.9464362300193576,0.9582362555203952,0.9542310406313339,0.004736939701314376,RandomizedSearchCV
3.587476968765259,0.2103303283636913,0.20000767707824707,0.0635843998562279,True,entropy,24,,8,8,537,"{'model__bootstrap': True, 'model__criterion': 'entropy', 'model__max_depth': 24, 'model__max_features': None, 'model__min_samples_leaf': 8, 'model__min_samples_split': 8, 'model__n_estimators': 537}",0.7688913403199118,0.7477678571428571,0.7243303571428572,0.8221726190476191,0.7996651785714287,0.7725654704449348,0.035072240835022805,44,0.958740234375,0.9557904742033824,0.9507482236209155,0.9471317128583187,0.9536112946413048,0.9532043879397843,0.004010215375441608,RandomizedSearchCV
1.470393419265747,0.1336205587896258,0.1444857120513916,0.04607754722553607,False,entropy,29,sqrt,7,11,462,"{'model__bootstrap': False, 'model__criterion': 'entropy', 'model__max_depth': 29, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 7, 'model__min_samples_split': 11, 'model__n_estimators': 462}",0.7883802169516455,0.7460937499999999,0.7408854166666667,0.8381696428571429,0.7976190476190478,0.7822296148189005,0.035830419289999804,26,0.9715169270833333,0.9703608396796142,0.9659213408909135,0.9640899027483164,0.9696421740793546,0.9683062368963065,0.0028206330791275477,RandomizedSearchCV
4.301771068572998,0.5308728784292134,0.5640521049499512,0.08302979492246232,False,entropy,29,log2,1,3,1096,"{'model__bootstrap': False, 'model__criterion': 'entropy', 'model__max_depth': 29, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 3, 'model__n_estimators': 1096}",0.7728442728442728,0.74609375,0.7445126488095237,0.8341703869047619,0.7708333333333334,0.7736908783783784,0.03249499602004349,41,1.0,1.0,1.0,1.0,1.0,1.0,0.0,RandomizedSearchCV
