method,elapsed_time,best_score,test_score,best_params,auc_score,tunability,r2_score
Unoptimized,0.3057703971862793,,,"['model__C': 1.0, 'model__l1_ratio':0.5]",0.7261754094334989,0.08361829506825824,-0.15196735865807853
RandomSearchCV,327.04854369163513,0.8104194587444236,0.8230416139330172,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_depth': None, 'bootstrap': False}",0.6922306805946467,0.11756302390711049,0.012599406864504226
