mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__l1_ratio,param_model__penalty,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,rank_train_score,search_type
0.033107948303222653,0.001767022627646541,0.024841785430908203,0.0016433029577764414,0.41000000000000003,0.8,elasticnet,"OrderedDict({'model__C': 0.41000000000000003, 'model__l1_ratio': 0.8, 'model__penalty': 'elasticnet'})",0.8074661963550852,0.8415697674418604,0.8406976744186047,0.8168604651162792,0.8467261904761905,0.8306640587616041,0.015532417828173323,42,0.8407894736842104,0.8348359904709547,0.8327102803738318,0.8397837639728788,0.8302089595744294,0.8356656936152611,0.004059813956153923,42,BayesSearchCV
0.026236486434936524,0.005154752690521935,0.018800067901611327,0.0036548373183530854,0.8350000000000001,0.8,elasticnet,"OrderedDict({'model__C': 0.8350000000000001, 'model__l1_ratio': 0.8, 'model__penalty': 'elasticnet'})",0.8106995884773662,0.8421511627906978,0.8404069767441861,0.8191860465116279,0.8514880952380952,0.8327863739523946,0.01528608671348094,20,0.8418676900584794,0.8404068169323804,0.8403335165842037,0.8439985339930365,0.8356196826437851,0.8404452480423771,0.0027549673181864213,13,BayesSearchCV
0.025036191940307616,0.0025034505728974417,0.01843395233154297,0.0006997534298426637,0.445,0.8,elasticnet,"OrderedDict({'model__C': 0.445, 'model__l1_ratio': 0.8, 'model__penalty': 'elasticnet'})",0.8074661963550852,0.8424418604651163,0.8415697674418605,0.8162790697674418,0.8482142857142857,0.831194235948758,0.01618224242941359,38,0.8409173976608186,0.8350375664284404,0.8331867326369802,0.8401685908008063,0.8303547029567689,0.8359329980967628,0.004055752287450883,39,BayesSearchCV
0.02056465148925781,0.0003999016255461354,0.01981358528137207,0.000491303107398821,0.81,0.2,elasticnet,"OrderedDict({'model__C': 0.81, 'model__l1_ratio': 0.2, 'model__penalty': 'elasticnet'})",0.8074661963550852,0.8412790697674419,0.8418604651162791,0.8113372093023256,0.843452380952381,0.8290790642987025,0.016128769645477832,48,0.8400767543859649,0.8369067253069452,0.8390874106652007,0.84326553051127,0.8331056092984277,0.8384884060335617,0.0033816797579175194,29,BayesSearchCV
0.021500587463378906,0.0003867158760407432,0.01838984489440918,0.0007998469050143083,0.8,0.5,elasticnet,"OrderedDict({'model__C': 0.8, 'model__l1_ratio': 0.5, 'model__penalty': 'elasticnet'})",0.8121693121693122,0.8409883720930232,0.8430232558139535,0.8148255813953489,0.8476190476190476,0.8317251138181371,0.015060522383567282,32,0.8418311403508771,0.8382994319223016,0.839343961883819,0.8435587319039767,0.8336157111366163,0.839329795439518,0.0034015654946636937,23,BayesSearchCV
0.022360992431640626,0.0011697867031704985,0.020398044586181642,0.0004945499891342969,0.735,0.8,elasticnet,"OrderedDict({'model__C': 0.735, 'model__l1_ratio': 0.8, 'model__penalty': 'elasticnet'})",0.8089359200470312,0.8418604651162791,0.8415697674418605,0.8191860465116279,0.8517857142857143,0.8326675826805026,0.015963737443964277,23,0.8415387426900585,0.8396371632765257,0.8398570643210556,0.843613707165109,0.8341075950520122,0.8397508545009522,0.0031619221467385264,19,BayesSearchCV
0.02421579360961914,0.0008828179759248646,0.01903824806213379,0.0003997357892901878,0.615,0.8,elasticnet,"OrderedDict({'model__C': 0.615, 'model__l1_ratio': 0.8, 'model__penalty': 'elasticnet'})",0.8083480305702527,0.8430232558139535,0.8409883720930232,0.8188953488372093,0.8511904761904762,0.832489096700983,0.016127794890370487,26,0.8413925438596491,0.8384093824445666,0.8381894814000366,0.8429173538574309,0.8322493669271829,0.8386316256977733,0.0036597334770022147,27,BayesSearchCV
0.023723697662353514,0.0007503977223070951,0.018562698364257814,0.00040049557175461767,0.545,0.8,elasticnet,"OrderedDict({'model__C': 0.545, 'model__l1_ratio': 0.8, 'model__penalty': 'elasticnet'})",0.8077601410934744,0.8430232558139535,0.8415697674418605,0.8177325581395349,0.8508928571428571,0.8321957159263361,0.01649831386586201,31,0.8412463450292398,0.8374381528312259,0.8367967747846801,0.842147700201576,0.8310105481772969,0.8377279042048038,0.003949375959412701,32,BayesSearchCV
0.02246885299682617,0.0010203193821301442,0.02041172981262207,0.0,0.9550000000000001,0.8,elasticnet,"OrderedDict({'model__C': 0.9550000000000001, 'model__l1_ratio': 0.8, 'model__penalty': 'elasticnet'})",0.8121693121693122,0.8421511627906976,0.8398255813953488,0.8194767441860465,0.8523809523809524,0.8332007505844714,0.014983645459783704,5,0.8421600877192982,0.8413047461975444,0.8414330218068535,0.8446582371266264,0.8368767193164635,0.8412865624333572,0.0025139504360822225,5,BayesSearchCV
0.02084975242614746,0.0009825582076770489,0.019591760635375977,0.00048741636568489313,0.005,0.8,elasticnet,"OrderedDict({'model__C': 0.005, 'model__l1_ratio': 0.8, 'model__penalty': 'elasticnet'})",0.5,0.5,0.5,0.5,0.5,0.5,0.0,59,0.5,0.5,0.5,0.5,0.5,0.5,0.0,59,BayesSearchCV
0.022798442840576173,0.0007496419521997926,0.020974445343017577,0.00039944653011839555,0.37,0.8,elasticnet,"OrderedDict({'model__C': 0.37, 'model__l1_ratio': 0.8, 'model__penalty': 'elasticnet'})",0.8080540858318637,0.8412790697674418,0.8409883720930232,0.8159883720930232,0.8446428571428571,0.8301905513856418,0.015100611361833017,44,0.8409539473684211,0.8346893897746014,0.8321422026754627,0.8390874106652007,0.8295713322766938,0.835288856552076,0.004230204302013328,46,BayesSearchCV
