method,elapsed_time,best_score,test_score,best_params,auc_score,r2_score
Unoptimized,1.1329996585845947,,,"['model__C': 1.0, 'model__l1_ratio':0.5]",0.7261754094334989,-0.15196735865807853
BayesSearchCV,855.2207562923431,0.7904388923102361,0.7824666125162922,"OrderedDict({'model__C': 0.615, 'model__l1_ratio': 0.8, 'model__penalty': 'elasticnet'})",0.7093069381741249,-0.2251081433347819
