mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__l1_ratio,param_model__penalty,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,rank_train_score,search_type
0.07581839561462403,0.01410388776985002,0.02296028137207031,0.002093860573622869,0.41000000000000003,0.8,elasticnet,"OrderedDict({'model__C': 0.41000000000000003, 'model__l1_ratio': 0.8, 'model__penalty': 'elasticnet'})",0.8102592388306673,0.7261904761904763,0.7159598214285714,0.8439360119047618,0.748139880952381,0.7688970858613715,0.049797064473410556,49,0.8178013392857144,0.8385088847932678,0.8444436716857344,0.8099709056345701,0.8314033684552168,0.8284256339709006,0.012810690984994752,47,BayesSearchCV
0.10176033973693847,0.028174914505154067,0.02060408592224121,0.001495736527265613,0.8350000000000001,0.8,elasticnet,"OrderedDict({'model__C': 0.8350000000000001, 'model__l1_ratio': 0.8, 'model__penalty': 'elasticnet'})",0.8132009560580988,0.7269345238095238,0.7059151785714285,0.8465401785714286,0.7479538690476191,0.7681089412116198,0.05320596299361249,53,0.8251953125,0.8465417115832666,0.850135039584565,0.8167518633144395,0.8389493572579431,0.8355146568480428,0.012693935428856551,26,BayesSearchCV
0.09310345649719239,0.010138701128631255,0.018604040145874023,0.0004928722514489944,0.445,0.8,elasticnet,"OrderedDict({'model__C': 0.445, 'model__l1_ratio': 0.8, 'model__penalty': 'elasticnet'})",0.810075381503953,0.7276785714285715,0.716703869047619,0.8456101190476191,0.7483258928571429,0.7696787667769811,0.049847283100334705,44,0.818696521577381,0.8398766677098909,0.8453130252344357,0.8112111833640505,0.8322843133845672,0.8294763422540651,0.01278023913998902,44,BayesSearchCV
0.08325676918029785,0.00644091584753812,0.01976461410522461,0.00024974604607567227,0.81,0.2,elasticnet,"OrderedDict({'model__C': 0.81, 'model__l1_ratio': 0.2, 'model__penalty': 'elasticnet'})",0.8146718146718146,0.7300967261904762,0.7116815476190477,0.849702380952381,0.7464657738095237,0.7705236486486486,0.052714025585657937,33,0.8267647879464286,0.848813622190539,0.8506102861911882,0.8187687635474261,0.8399693987550858,0.8369853717261335,0.0124157590736354,10,BayesSearchCV
0.0940131664276123,0.01597862966372906,0.024735212326049805,0.003560941925303637,0.8,0.5,elasticnet,"OrderedDict({'model__C': 0.8, 'model__l1_ratio': 0.5, 'model__penalty': 'elasticnet'})",0.8144879573451002,0.728422619047619,0.7088913690476191,0.8491443452380952,0.7481398809523809,0.7698172343261629,0.053260955500175504,43,0.8261253720238095,0.8478399462159938,0.8501929964878117,0.8180500979471665,0.839215959012878,0.836284874337532,0.012419898248429638,17,BayesSearchCV
0.08868961334228516,0.022491242315225462,0.018916940689086913,0.0009209697063878471,0.735,0.8,elasticnet,"OrderedDict({'model__C': 0.735, 'model__l1_ratio': 0.8, 'model__penalty': 'elasticnet'})",0.8144879573451003,0.728422619047619,0.7079613095238095,0.8465401785714287,0.7490699404761905,0.7692964009928296,0.05263201904012688,45,0.8240211123511905,0.8456491752732669,0.8494395567456039,0.8160563804754785,0.8378134019543069,0.8345959253599693,0.01271535510072926,32,BayesSearchCV
0.1122525691986084,0.004989919423606348,0.02079482078552246,0.0011712190178480273,0.615,0.8,elasticnet,"OrderedDict({'model__C': 0.615, 'model__l1_ratio': 0.8, 'model__penalty': 'elasticnet'})",0.81283324140467,0.7273065476190477,0.7096354166666667,0.8454241071428572,0.7486979166666665,0.7687794458999816,0.05183903220069688,50,0.8221842447916667,0.8442350268340462,0.8479906341644354,0.8151986183074266,0.8359355982891121,0.8331088244773375,0.012596612361945982,37,BayesSearchCV
0.11273093223571777,0.007003010332296663,0.022901296615600586,0.0010117835285597663,0.545,0.8,elasticnet,"OrderedDict({'model__C': 0.545, 'model__l1_ratio': 0.8, 'model__penalty': 'elasticnet'})",0.8117300974443831,0.7263764880952381,0.7122395833333334,0.8463541666666667,0.7486979166666667,0.7690796504412576,0.05149792202075645,48,0.8210914248511905,0.8429136094400204,0.8474458392739159,0.8139467491972968,0.8350082878371643,0.8320811821199176,0.012740600780463475,39,BayesSearchCV
0.0929980754852295,0.009898965462174412,0.018599605560302733,0.0004901547503752324,0.9550000000000001,0.8,elasticnet,"OrderedDict({'model__C': 0.9550000000000001, 'model__l1_ratio': 0.8, 'model__penalty': 'elasticnet'})",0.8111785254642396,0.7271205357142856,0.7055431547619048,0.8467261904761906,0.7488839285714286,0.7678904669976099,0.05291417663539893,55,0.8258928571428572,0.8478051720740458,0.8509232534687206,0.8176907651470366,0.839413012483917,0.8363450120633154,0.012731861505855136,16,BayesSearchCV
0.02313852310180664,0.0010308723984778453,0.020216751098632812,0.0011796279231227414,0.005,0.8,elasticnet,"OrderedDict({'model__C': 0.005, 'model__l1_ratio': 0.8, 'model__penalty': 'elasticnet'})",0.5,0.5,0.5,0.5,0.5,0.5,0.0,59,0.5,0.5,0.5,0.5,0.5,0.5,0.0,59,BayesSearchCV
0.07153925895690919,0.013961701115653802,0.019869136810302734,0.0013595832833480457,0.385,0.2,elasticnet,"OrderedDict({'model__C': 0.385, 'model__l1_ratio': 0.2, 'model__penalty': 'elasticnet'})",0.8137525280382423,0.7317708333333334,0.7157738095238094,0.8524925595238095,0.7455357142857142,0.7718650889409817,0.052349524345185146,7,0.8222888764880951,0.8434120388079426,0.8457766804604097,0.8150363389783356,0.8351589757856058,0.8323345821040778,0.01192914641938665,38,BayesSearchCV
