mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_depth,param_bootstrap,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,search_type
2.3459825992584227,0.09943222780332323,0.09097399711608886,0.004078316268656502,1000,5,4,,False,"{'n_estimators': 1000, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_depth': None, 'bootstrap': False}",0.753534226190476,0.8069196428571428,0.7785727734889852,0.7972133308228206,0.7836565618527584,0.7839793070424367,0.01820788900622877,8,RandomizedSearchCV
0.8132287979125976,0.0459167926091592,0.03485050201416016,0.006173116769977704,300,2,2,10,True,"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_depth': 10, 'bootstrap': True}",0.7503720238095238,0.8156622023809523,0.7772547542835625,0.8092637921295426,0.7861043118056863,0.7877314168818534,0.023460196688280834,2,RandomizedSearchCV
0.13786654472351073,0.008750431264400527,0.008199977874755859,0.00039992416318526013,50,2,2,,True,"{'n_estimators': 50, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_depth': None, 'bootstrap': True}",0.738467261904762,0.8244047619047619,0.7797025042364903,0.7668988890980983,0.7902466578798719,0.7799440150047969,0.02819027190435793,18,RandomizedSearchCV
0.1207977294921875,0.00809796499090976,0.008425140380859375,0.0015875662740863846,50,10,2,5,True,"{'n_estimators': 50, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_depth': 5, 'bootstrap': True}",0.7373511904761906,0.8178943452380952,0.7925061193748824,0.7966484654490679,0.766145735266428,0.7821091711609329,0.02777831677703703,14,RandomizedSearchCV
0.5355145931243896,0.033077718478165125,0.021917438507080077,0.0021729008707619185,200,10,1,,False,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_depth': None, 'bootstrap': False}",0.7539062499999999,0.8097098214285714,0.7678403313876859,0.7930709847486349,0.7778196196573152,0.7804694014444414,0.019421214335355017,17,RandomizedSearchCV
5.560660552978516,0.680404890066906,0.2238600730895996,0.09184053200477046,2000,2,1,10,False,"{'n_estimators': 2000, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 10, 'bootstrap': False}",0.7594866071428571,0.8056175595238094,0.7753718697043871,0.7987196384861608,0.7885520617586143,0.7855495473231657,0.01654118182244543,5,RandomizedSearchCV
0.11330938339233398,0.0010868199145361581,0.008411026000976563,0.0003723334516207937,50,2,4,,False,"{'n_estimators': 50, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_depth': None, 'bootstrap': False}",0.7379092261904763,0.8191964285714286,0.7753718697043871,0.8077574844662022,0.7797025042364903,0.7839875026337969,0.028356580908215433,7,RandomizedSearchCV
2.905844736099243,0.27000194084602647,0.10443758964538574,0.019910152596281972,1000,5,4,20,True,"{'n_estimators': 1000, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_depth': 20, 'bootstrap': True}",0.744047619047619,0.8186383928571429,0.7793259273206553,0.7947655808698928,0.7795142157785727,0.7832583471747766,0.024294557851022285,11,RandomizedSearchCV
0.7897951602935791,0.01747467849386973,0.02841639518737793,0.0009751476109379502,300,10,2,,True,"{'n_estimators': 300, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_depth': None, 'bootstrap': True}",0.7520461309523809,0.8286830357142857,0.7855394464319337,0.8006025230653361,0.783844850310676,0.7901431972949224,0.02492776284231183,1,RandomizedSearchCV
2.8718335151672365,0.3137273140019817,0.09558610916137696,0.008884275944048071,1000,2,4,20,True,"{'n_estimators': 1000, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_depth': 20, 'bootstrap': True}",0.744047619047619,0.8186383928571429,0.7793259273206553,0.7947655808698928,0.7795142157785727,0.7832583471747766,0.024294557851022285,11,RandomizedSearchCV
0.8221529960632324,0.043934050784374644,0.03495326042175293,0.007051955430137945,300,5,4,20,True,"{'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_depth': 20, 'bootstrap': True}",0.7406994047619048,0.8286830357142857,0.7765016004518923,0.7990962154019959,0.7793259273206553,0.7848612367301468,0.02889212784046559,6,RandomizedSearchCV
2.851099395751953,0.06824357912983163,0.10214920043945312,0.02688756661765173,1000,10,1,10,True,"{'n_estimators': 1000, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_depth': 10, 'bootstrap': True}",0.7490699404761905,0.8167782738095238,0.7851628695160987,0.7983430615703258,0.7840331387685935,0.7866774568281465,0.0222070132878587,4,RandomizedSearchCV
0.2655475616455078,0.011225608101885933,0.013007211685180663,0.0011088328502097124,100,2,4,,True,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_depth': None, 'bootstrap': True}",0.757440476190476,0.8145461309523809,0.7702880813406139,0.7861043118056863,0.7755601581623047,0.7807878316902923,0.019238295489162793,16,RandomizedSearchCV
2.925603914260864,0.08303614036734505,0.09729609489440919,0.008507579700179528,1000,5,1,20,False,"{'n_estimators': 1000, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_depth': 20, 'bootstrap': False}",0.7507440476190478,0.8041294642857143,0.7659574468085106,0.7921295424590472,0.7855394464319337,0.7796999895208507,0.019040463923801904,19,RandomizedSearchCV
