mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_depth,param_bootstrap,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,search_type
34.016546201705935,0.45406615193347244,0.1418912410736084,0.020935556584199717,1000,5,4,,False,"{'n_estimators': 1000, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_depth': None, 'bootstrap': False}",0.7619465696726452,0.8506835570048915,0.7989150884234292,0.8097441223680483,0.8137727000912724,0.8070124075120573,0.028484485027564593,9,1.0,1.0,1.0,1.0,1.0,1.0,0.0,RandomizedSearchCV
5.688835191726684,0.15719153442316355,0.034820270538330075,0.002074526703637472,300,2,2,10,True,"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_depth': 10, 'bootstrap': True}",0.7598770851624232,0.842781888874953,0.7847422551109995,0.7995153117426745,0.8051804991659585,0.7984194080114018,0.02715701835258526,31,0.9999253907170345,0.9999980365978167,0.9999450247388675,0.9998921137082284,0.9999117293976414,0.9999344590319176,3.618214503453761e-05,RandomizedSearchCV
1.1351662158966065,0.028744764508987372,0.011205005645751952,0.001748106824194705,50,2,2,,True,"{'n_estimators': 50, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_depth': None, 'bootstrap': True}",0.7461432334127683,0.828295497303399,0.7892104603035244,0.8022692222956598,0.7819847039939571,0.7895806234618616,0.026849520906470453,41,1.0,1.0,1.0,1.0,1.0,1.0,0.0,RandomizedSearchCV
0.6060520648956299,0.021774674495787984,0.010007286071777343,0.002098134948359668,50,10,2,5,True,"{'n_estimators': 50, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_depth': 5, 'bootstrap': True}",0.7422237551737113,0.8341590367490279,0.7667440110372508,0.7727630377993895,0.7775155005822554,0.778681068268327,0.030284701196559814,50,0.9310708395507736,0.9248880860755517,0.9256106180790074,0.9194148247534308,0.9202249527261885,0.9242418642369904,0.0042038525626474105,RandomizedSearchCV
7.6820250988006595,0.21576392274004874,0.029903507232666014,0.0035617530376588708,200,10,1,,False,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_depth': None, 'bootstrap': False}",0.7637024959237426,0.8527530415151137,0.8097014925373134,0.8027255846158688,0.823214679130079,0.8104194587444236,0.028975975168024432,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,RandomizedSearchCV
46.97255277633667,0.4121907898104101,0.17225780487060546,0.005945480629530026,1500,2,1,10,False,"{'n_estimators': 1500, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 10, 'bootstrap': False}",0.7663990969522136,0.849962373008905,0.7973472971278063,0.8052119724294212,0.8144021653605262,0.8066645809757744,0.026999259473546876,11,1.0,1.0,1.0,1.0,1.0,1.0,0.0,RandomizedSearchCV
1.658636474609375,0.07174797115639767,0.011110401153564453,0.0008019099600551514,50,2,4,,False,"{'n_estimators': 50, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_depth': None, 'bootstrap': False}",0.754828797190518,0.8405869810610812,0.7857142857142857,0.8020016995562269,0.7985396405753313,0.7963342808194886,0.02767950213703908,37,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,4.965068306494546e-17,RandomizedSearchCV
22.804798412323,0.9466902938203835,0.12516751289367675,0.015290766731974957,1000,5,4,20,True,"{'n_estimators': 1000, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_depth': 20, 'bootstrap': True}",0.7636397842719178,0.8456666248588987,0.7957481500062711,0.8120416706008247,0.8079186730872123,0.805002980565025,0.026488270173101337,16,0.999909683499568,0.9999685855650672,0.999954841749784,0.9999764611727044,0.9999058446908174,0.9999430833355882,2.9681542190041967e-05,RandomizedSearchCV
7.739225721359253,0.41766927374634677,0.04571299552917481,0.010872204852692312,300,10,2,,True,"{'n_estimators': 300, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_depth': None, 'bootstrap': True}",0.7635457167941804,0.8463564530289728,0.7997930515489778,0.8066912158121675,0.8225222673338999,0.8077817409036397,0.027302475223270884,7,0.9999685855650671,0.9999980365978167,0.9999725123694337,0.9999882305863522,0.9999588070522327,0.9999772344341805,1.4073482954797043e-05,RandomizedSearchCV
21.95950345993042,0.3849455615398886,0.15010833740234375,0.06333933328083145,1000,2,4,20,True,"{'n_estimators': 1000, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_depth': 20, 'bootstrap': True}",0.7636397842719178,0.8456666248588987,0.7957481500062711,0.8120416706008247,0.8079186730872123,0.805002980565025,0.026488270173101337,16,0.999909683499568,0.9999685855650672,0.999954841749784,0.9999764611727044,0.9999058446908174,0.9999430833355882,2.9681542190041967e-05,RandomizedSearchCV
6.585539674758911,0.16645610834092697,0.03890180587768555,0.001741077070465618,300,5,4,20,True,"{'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_depth': 20, 'bootstrap': True}",0.7566160792675279,0.8404615577574314,0.7859964881474978,0.8027885311427941,0.8048657665313317,0.7981456845693166,0.02731175475787651,33,0.9999116469017514,0.9999646587607005,0.9999273541192177,0.9999529223454088,0.9998901521392871,0.9999293468532731,2.704152182452436e-05,RandomizedSearchCV
